timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1621218375710,62,Petición HTTP-2,301,Moved Permanently,Pruebas UAGRO 1-66,text,true,,634,139,173,173,https://www.pruebavotaciones.uagro.mx/registro,62,0,0
1621218375772,55,Petición HTTP-3,200,OK,Pruebas UAGRO 1-66,text,true,,3929,140,173,173,https://www.pruebavotaciones.uagro.mx/registro/,55,0,0
1621218375612,215,Petición HTTP,200,OK,Pruebas UAGRO 1-62,text,true,,5404,541,173,173,https://www.pruebavotaciones.uagro.mx/registro/,48,0,0
1621218375611,216,Petición HTTP,200,OK,Pruebas UAGRO 1-57,text,true,,5404,541,173,173,https://www.pruebavotaciones.uagro.mx/registro/,50,0,0
1621218375612,48,Petición HTTP-0,301,Moved Permanently,Pruebas UAGRO 1-62,text,true,,615,131,173,173,http://www.pruebavotaciones.uagro.mx/,48,0,0
1621218375611,50,Petición HTTP-0,301,Moved Permanently,Pruebas UAGRO 1-57,text,true,,615,131,173,173,http://www.pruebavotaciones.uagro.mx/,50,0,0
1621218375661,49,Petición HTTP-1,302,Found,Pruebas UAGRO 1-57,text,true,,226,131,173,173,https://www.pruebavotaciones.uagro.mx/,49,0,0
1621218375710,62,Petición HTTP-2,301,Moved Permanently,Pruebas UAGRO 1-57,text,true,,634,139,173,173,https://www.pruebavotaciones.uagro.mx/registro,62,0,0
1621218375772,55,Petición HTTP-3,200,OK,Pruebas UAGRO 1-57,text,true,,3929,140,173,173,https://www.pruebavotaciones.uagro.mx/registro/,55,0,0
1621218375661,49,Petición HTTP-1,302,Found,Pruebas UAGRO 1-62,text,true,,226,131,173,173,https://www.pruebavotaciones.uagro.mx/,49,0,0
1621218375710,62,Petición HTTP-2,301,Moved Permanently,Pruebas UAGRO 1-62,text,true,,634,139,173,173,https://www.pruebavotaciones.uagro.mx/registro,62,0,0
1621218375772,55,Petición HTTP-3,200,OK,Pruebas UAGRO 1-62,text,true,,3929,140,173,173,https://www.pruebavotaciones.uagro.mx/registro/,55,0,0
1621218375611,216,Petición HTTP,200,OK,Pruebas UAGRO 1-56,text,true,,5404,541,173,173,https://www.pruebavotaciones.uagro.mx/registro/,57,0,0
1621218375611,216,Petición HTTP,200,OK,Pruebas UAGRO 1-54,text,true,,5404,541,173,173,https://www.pruebavotaciones.uagro.mx/registro/,52,0,0
1621218375611,57,Petición HTTP-0,301,Moved Permanently,Pruebas UAGRO 1-56,text,true,,615,131,173,173,http://www.pruebavotaciones.uagro.mx/,57,0,0
1621218375620,207,Petición HTTP,200,OK,Pruebas UAGRO 1-70,text,true,,5404,541,173,173,https://www.pruebavotaciones.uagro.mx/registro/,56,0,0
1621218375611,52,Petición HTTP-0,301,Moved Permanently,Pruebas UAGRO 1-54,text,true,,615,131,173,173,http://www.pruebavotaciones.uagro.mx/,52,0,0
1621218375668,52,Petición HTTP-1,302,Found,Pruebas UAGRO 1-56,text,true,,226,131,173,173,https://www.pruebavotaciones.uagro.mx/,52,0,0
1621218375620,56,Petición HTTP-0,301,Moved Permanently,Pruebas UAGRO 1-70,text,true,,615,131,173,173,http://www.pruebavotaciones.uagro.mx/,56,0,0
1621218375663,49,Petición HTTP-1,302,Found,Pruebas UAGRO 1-54,text,true,,226,131,173,173,https://www.pruebavotaciones.uagro.mx/,49,0,0
1621218375720,52,Petición HTTP-2,301,Moved Permanently,Pruebas UAGRO 1-56,text,true,,634,139,173,173,https://www.pruebavotaciones.uagro.mx/registro,52,0,0
1621218375676,49,Petición HTTP-1,302,Found,Pruebas UAGRO 1-70,text,true,,226,131,173,173,https://www.pruebavotaciones.uagro.mx/,49,0,0
1621218375712,60,Petición HTTP-2,301,Moved Permanently,Pruebas UAGRO 1-54,text,true,,634,139,173,173,https://www.pruebavotaciones.uagro.mx/registro,60,0,0
